episode,env_return,shaped_return,length,lives_lost
0,2.0,32.93482536764705,220,5
1,0.0,16.94731617647059,132,5
2,0.0,13.129751838235295,134,5
3,1.0,27.013033088235296,183,5
4,0.0,13.655413602941174,132,5
5,0.0,12.432821691176471,129,5
6,0.0,17.33912683823529,139,5
7,2.0,40.58997242647062,234,5
8,2.0,32.2534650735294,209,5
9,3.0,44.27773897058824,250,5
10,1.0,28.3007536764706,179,5
11,0.0,14.624034926470587,133,5
12,4.0,55.99563419117649,299,5
13,0.0,15.644834558823533,143,5
14,2.0,27.111663602941178,202,5
15,0.0,13.945551470588246,139,5
16,0.0,5.693740808823528,135,5
17,0.0,15.822693014705882,134,5
18,4.0,55.9521415441176,327,5
19,3.0,46.308281249999965,271,5
20,0.0,11.593336397058827,139,5
21,0.0,8.816691176470586,160,5
22,5.0,66.42767463235292,353,5
23,2.0,36.81998161764707,222,5
24,5.0,69.13983455882355,369,5
25,3.0,33.38840073529411,238,5
26,3.0,48.822545955882376,260,5
27,2.0,32.90313419117646,215,5
28,2.0,28.63988970588234,220,5
29,0.0,16.667242647058824,132,5
30,0.0,12.83608455882353,129,5
31,0.0,19.374264705882354,158,5
32,0.0,9.38815257352941,129,5
33,0.0,16.202518382352935,131,5
34,2.0,35.51655330882353,214,5
35,0.0,10.589237132352938,144,5
36,1.0,22.807775735294125,180,5
37,3.0,42.59429227941177,290,5
38,2.0,30.844163602941194,206,5
39,4.0,56.3952757352941,314,5
40,0.0,11.426727941176463,140,5
41,0.0,13.058749999999993,133,5
42,3.0,45.95994485294119,257,5
43,3.0,40.590514705882356,271,5
44,1.0,17.1566268382353,160,5
45,1.0,29.070073529411776,195,5
46,2.0,35.9789705882353,215,5
47,0.0,15.674761029411757,128,5
48,2.0,30.325845588235303,203,5
49,0.0,12.420404411764707,131,5
50,2.0,28.528262867647058,208,5
51,2.0,41.86076286764706,246,5
52,4.0,58.233814338235305,290,5
53,0.0,13.400422794117642,132,5
54,0.0,5.495523897058822,138,5
55,1.0,25.967251838235285,161,5
56,0.0,18.71090992647058,138,5
57,3.0,50.86596507352941,272,5
58,0.0,14.82802389705883,126,5
59,1.0,19.866314338235295,182,5
60,0.0,13.771920955882358,132,5
61,0.0,12.857830882352939,127,5
62,2.0,31.44779411764704,216,5
63,0.0,14.268446691176472,134,5
64,0.0,18.86121323529412,144,5
65,0.0,11.674852941176471,138,5
66,3.0,40.092913602941174,256,5
67,2.0,38.05772977941177,206,5
68,0.0,18.003621323529412,128,5
69,2.0,45.12750919117645,225,5
70,4.0,50.997720588235275,265,5
71,2.0,33.421250000000015,205,5
72,3.0,51.822748161764714,270,5
73,1.0,22.200698529411767,155,5
74,2.0,44.573400735294136,225,5
75,1.0,20.624595588235284,163,5
76,0.0,18.602913602941182,131,5
77,1.0,29.7928400735294,162,5
78,1.0,25.715965073529404,168,5
79,1.0,22.320174632352934,181,5
80,2.0,37.52980698529412,208,5
81,0.0,24.97682904411764,157,5
82,0.0,13.791452205882354,144,5
83,2.0,33.16727022058824,197,5
84,0.0,16.917702205882357,129,5
85,4.0,48.77548713235292,307,5
86,0.0,13.632876838235289,125,5
87,4.0,55.00922794117648,285,5
88,0.0,14.20100183823529,125,5
89,1.0,26.1833731617647,162,5
90,3.0,45.12407169117645,249,5
91,0.0,16.311727941176468,131,5
92,2.0,39.10988051470587,228,5
93,2.0,40.907132352941176,227,5
94,1.0,25.532849264705884,172,5
95,2.0,34.57658088235293,193,5
96,1.0,31.844733455882345,186,5
97,1.0,25.956130514705862,166,5
98,2.0,43.26831801470587,212,5
99,0.0,16.386093750000004,127,5
100,1.0,28.987867647058824,177,5
101,3.0,43.88133272058826,237,5
102,1.0,25.80197610294118,178,5
103,0.0,15.345110294117646,127,5
104,0.0,17.567729779411756,130,5
105,2.0,38.63486213235296,211,5
106,0.0,16.561020220588222,131,5
107,1.0,21.499779411764692,157,5
108,2.0,47.54685661764704,252,5
109,1.0,30.784558823529398,181,5
110,3.0,56.921939338235276,283,5
111,3.0,50.931847426470576,233,5
112,2.0,36.678970588235266,192,5
113,1.0,30.08389705882353,196,5
114,0.0,17.23917279411765,130,5
115,0.0,17.235395220588234,139,5
116,1.0,31.27303308823529,181,5
117,2.0,39.383382352941176,208,5
118,2.0,33.50288602941177,213,5
119,2.0,35.68424632352941,210,5
120,2.0,42.904678308823506,219,5
121,2.0,40.59294117647058,224,5
122,1.0,25.14439338235296,160,5
123,2.0,34.401148897058825,215,5
124,0.0,18.524889705882362,136,5
125,0.0,15.961645220588235,139,5
126,0.0,19.912270220588248,135,5
127,1.0,29.996250000000007,170,5
128,4.0,68.4111672794118,319,5
129,1.0,31.075229779411757,181,5
130,4.0,65.2681801470588,273,5
131,2.0,35.25733455882352,202,5
132,1.0,26.056387867647057,170,5
133,3.0,49.99432904411761,240,5
134,1.0,29.801406250000007,170,5
135,2.0,45.839522058823555,225,5
136,1.0,31.8461580882353,173,5
137,1.0,27.79357536764705,164,5
138,0.0,21.759209558823542,144,5
139,1.0,29.923759191176458,175,5
140,0.0,17.06811580882353,129,5
141,0.0,16.231075367647065,126,5
142,3.0,49.5462224264706,286,5
143,1.0,28.349384191176473,181,5
144,0.0,17.812408088235287,132,5
145,1.0,30.423943014705895,162,5
146,0.0,18.38782169117647,130,5
147,1.0,34.13110294117647,184,5
148,0.0,17.179117647058817,130,5
149,3.0,47.63672794117645,241,5
150,0.0,19.634503676470594,130,5
151,0.0,17.71333639705883,126,5
152,3.0,53.90449448529413,252,5
153,1.0,32.15279411764706,175,5
154,1.0,30.58754595588236,176,5
155,0.0,21.31564338235294,140,5
156,0.0,20.08352022058824,131,5
157,2.0,40.62627757352942,199,5
158,1.0,26.66609374999999,179,5
159,2.0,34.70574448529409,239,5
160,3.0,48.06457720588236,236,5
161,0.0,16.51633272058823,122,5
162,0.0,10.930303308823525,131,5
163,3.0,42.61057904411766,250,5
164,1.0,29.206424632352935,176,5
165,2.0,39.784237132352914,207,5
166,0.0,13.11366727941176,126,5
167,3.0,50.37015625,253,5
168,1.0,30.04341911764705,174,5
169,1.0,30.282895220588227,178,5
170,0.0,22.174347426470586,140,5
171,0.0,20.511994485294114,129,5
172,0.0,15.680808823529414,131,5
173,2.0,36.24144301470589,202,5
174,1.0,26.986213235294127,151,5
175,0.0,21.18269301470587,135,5
176,0.0,17.856507352941176,125,5
177,2.0,40.87509191176471,211,5
178,1.0,25.648125000000007,180,5
179,0.0,15.556066176470589,129,5
180,0.0,12.39832720588235,138,5
181,3.0,50.5861488970588,248,5
182,1.0,28.356875000000002,171,5
183,2.0,42.324917279411785,218,5
184,0.0,20.17631433823529,126,5
185,1.0,28.468262867647066,157,5
186,0.0,19.93711397058823,129,5
187,2.0,42.79333639705881,226,5
188,3.0,53.51565257352939,246,5
189,1.0,33.23590992647058,180,5
190,1.0,28.470661764705888,159,5
191,0.0,14.454237132352945,128,5
192,0.0,17.903281249999996,122,5
193,1.0,25.80175551470589,155,5
194,2.0,42.705229779411766,191,5
195,0.0,18.449126838235287,125,5
196,0.0,15.561332720588235,122,5
197,0.0,19.095147058823525,127,5
198,0.0,16.63708639705883,128,5
199,1.0,28.935670955882358,171,5
200,3.0,41.616691176470596,227,5
201,3.0,56.114080882352916,289,5
202,1.0,24.24045955882351,151,5
203,1.0,28.835349264705883,179,5
204,0.0,15.666433823529406,123,5
205,0.0,20.553336397058825,135,5
206,2.0,43.16026654411763,212,5
207,2.0,42.01457720588239,214,5
208,1.0,27.766066176470588,153,5
209,0.0,20.023694852941173,132,5
210,5.0,78.66864889705887,333,5
211,1.0,30.149742647058822,174,5
212,2.0,43.4578033088235,205,5
213,2.0,35.43542279411764,185,5
214,2.0,42.138226102941196,202,5
215,0.0,18.26998161764706,129,5
216,2.0,42.76435661764706,227,5
217,2.0,43.49375919117646,203,5
218,4.0,61.06670036764707,255,5
219,0.0,18.77330882352942,124,5
220,0.0,17.357454044117656,125,5
221,0.0,20.107674632352936,124,5
222,0.0,17.259705882352947,129,5
223,1.0,26.72186580882353,157,5
224,2.0,43.360064338235276,208,5
225,2.0,39.39899816176471,188,5
226,2.0,37.8790073529412,195,5
227,3.0,49.88443014705884,244,5
228,3.0,48.22204963235295,221,5
229,0.0,18.596443014705883,127,5
230,0.0,17.432904411764714,133,5
231,1.0,34.83711397058823,177,5
232,0.0,17.4341268382353,125,5
233,0.0,21.019246323529416,140,5
234,2.0,38.3748345588235,189,5
235,1.0,32.047683823529404,169,5
236,0.0,20.52214154411765,128,5
237,3.0,52.77458639705881,250,5
238,1.0,29.890137867647056,154,5
239,3.0,53.775422794117645,246,5
240,2.0,41.726580882352934,194,5
241,2.0,46.45452205882348,224,5
242,1.0,34.19239889705882,170,5
243,4.0,67.82059742647058,277,5
244,0.0,19.914292279411775,125,5
245,1.0,30.353970588235285,171,5
246,4.0,57.454071691176466,244,5
247,0.0,18.74429227941176,127,5
248,2.0,44.47602941176469,205,5
249,1.0,28.902766544117654,152,5
250,1.0,31.310652573529413,173,5
251,3.0,52.991911764705854,252,5
252,0.0,17.61922794117647,122,5
253,0.0,18.420036764705884,129,5
254,1.0,26.202113970588243,154,5
255,1.0,27.920836397058824,151,5
256,1.0,30.944365808823513,170,5
257,1.0,31.80631433823529,168,5
258,0.0,19.231222426470588,123,5
259,1.0,31.02157169117647,174,5
260,2.0,34.09020220588237,197,5
261,0.0,18.30809742647059,128,5
262,1.0,31.9583455882353,169,5
263,0.0,20.172040441176478,126,5
264,0.0,19.612233455882343,128,5
265,1.0,31.0972242647059,161,5
266,1.0,34.11980698529412,171,5
267,0.0,18.345468749999995,122,5
268,2.0,46.08500000000001,212,5
269,1.0,31.663602941176464,172,5
270,2.0,42.530551470588236,206,5
271,2.0,42.571580882352926,219,5
272,1.0,34.723124999999996,178,5
273,0.0,21.90940257352939,132,5
274,2.0,41.05131433823529,195,5
275,0.0,19.092444852941174,124,5
276,0.0,18.998207720588233,125,5
277,4.0,65.2736397058824,302,5
278,2.0,39.530919117647045,181,5
279,3.0,60.83844669117647,258,5
280,0.0,17.960036764705883,130,5
281,3.0,52.25564338235294,231,5
282,4.0,64.70221507352939,281,5
283,2.0,48.95663602941177,235,5
284,2.0,43.40921874999999,214,5
285,0.0,26.300808823529415,156,5
286,1.0,34.63095588235294,183,5
287,1.0,30.729549632352946,162,5
288,4.0,65.1939705882353,279,5
289,1.0,34.97677389705883,175,5
290,1.0,35.08663602941178,175,5
291,1.0,36.10429227941176,190,5
292,1.0,36.59782169117648,176,5
293,0.0,31.024522058823514,173,5
294,1.0,31.747086397058805,162,5
295,2.0,51.030735294117676,226,5
296,0.0,32.52368566176472,172,5
297,1.0,37.237830882352974,190,5
298,1.0,34.74928308823532,176,5
299,0.0,25.868961397058825,152,5
300,0.0,30.095183823529382,161,5
301,2.0,43.71819852941175,205,5
302,2.0,46.39693933823526,224,5
303,0.0,24.825422794117653,150,5
304,3.0,65.42942095588235,285,5
305,2.0,42.28405330882353,200,5
306,1.0,36.34070772058823,181,5
307,1.0,44.27683823529407,213,5
308,0.0,25.187196691176474,145,5
309,2.0,57.92893382352942,262,5
310,3.0,55.80001838235294,246,5
311,0.0,20.78974264705883,128,5
312,1.0,35.93005514705884,177,5
313,0.0,21.063409926470587,128,5
314,2.0,48.60525735294115,219,5
315,1.0,34.30791360294118,171,5
316,0.0,19.936231617647056,129,5
317,1.0,29.329871323529396,159,5
318,2.0,44.122205882352944,201,5
319,0.0,20.578198529411758,125,5
320,2.0,39.829283088235286,179,5
321,2.0,38.615965073529416,181,5
322,2.0,48.736286764705895,219,5
323,6.0,98.58371323529403,380,5
324,1.0,28.855983455882363,151,5
325,3.0,56.70392463235291,248,5
326,4.0,72.20063419117646,295,5
327,3.0,61.72325367647058,266,5
328,7.0,108.45833639705889,401,5
329,0.0,19.419797794117642,122,5
330,0.0,20.235073529411764,122,5
331,3.0,63.396534926470565,265,5
332,1.0,33.8513786764706,172,5
333,0.0,20.075193014705892,124,5
334,3.0,60.469816176470616,259,5
335,1.0,34.19486213235295,175,5
336,2.0,49.94117647058821,225,5
337,1.0,29.992996323529404,156,5
338,4.0,64.01602941176475,258,5
339,2.0,40.36360294117647,197,5
340,2.0,45.978777573529406,203,5
341,0.0,18.947757352941174,127,5
342,1.0,33.52181985294117,172,5
343,3.0,57.50916360294119,247,5
344,3.0,57.99880514705882,248,5
345,5.0,76.171875,310,5
346,0.0,19.917610294117658,125,5
347,1.0,35.52343749999998,175,5
348,2.0,47.42229779411761,219,5
349,0.0,21.642968750000005,126,5
350,0.0,18.617536764705886,124,5
351,0.0,19.32511029411763,123,5
352,2.0,46.55448529411767,217,5
353,6.0,92.87890624999994,355,5
354,2.0,51.69699448529411,221,5
355,3.0,56.13342830882355,233,5
356,1.0,33.47380514705883,173,5
357,6.0,93.88992647058821,352,5
358,0.0,20.311810661764714,125,5
359,1.0,35.79428308823528,173,5
360,3.0,51.1767555147059,209,5
361,3.0,63.800376838235266,272,5
362,2.0,37.871911764705885,180,5
363,1.0,35.65920036764706,173,5
364,1.0,30.438970588235303,152,5
365,5.0,84.52908088235294,323,5
366,1.0,33.79332720588235,170,5
367,0.0,18.6509375,123,5
368,6.0,95.3377849264706,373,5
369,0.0,20.865174632352947,123,5
370,2.0,43.21686580882351,199,5
371,0.0,19.87254595588235,125,5
372,0.0,20.712913602941175,123,5
373,1.0,30.058226102941163,151,5
374,0.0,21.130376838235303,123,5
375,0.0,19.10997242647058,125,5
376,1.0,28.148841911764695,153,5
377,0.0,19.68393382352941,124,5
378,1.0,34.266268382352926,169,5
379,2.0,45.0656801470588,206,5
380,2.0,45.047904411764705,203,5
381,0.0,20.352132352941183,123,5
382,3.0,53.54784926470587,246,5
383,3.0,57.322408088235306,246,5
384,0.0,20.83291360294118,124,5
385,0.0,20.477775735294113,124,5
386,2.0,40.13424632352943,186,5
387,3.0,63.886369485294075,268,5
388,6.0,80.52449448529413,296,5
389,0.0,19.424034926470583,123,5
390,0.0,20.64910845588236,124,5
391,1.0,33.07541360294118,172,5
392,3.0,60.213851102941135,255,5
393,3.0,59.16460477941175,243,5
394,1.0,34.76782169117647,171,5
395,4.0,63.852628676470594,254,5
396,2.0,40.385367647058835,186,5
397,1.0,28.276001838235278,153,5
398,13.0,146.07868566176458,477,5
399,4.0,65.17633272058823,271,5
400,0.0,20.2999356617647,122,5
401,1.0,35.05088235294119,173,5
402,2.0,45.34844669117647,201,5
403,1.0,36.43978860294118,173,5
404,0.0,20.52651654411766,124,5
405,0.0,20.20904411764705,124,5
406,1.0,34.89155330882354,171,5
407,0.0,20.105404411764706,128,5
408,7.0,105.4157720588236,393,5
409,0.0,20.120891544117647,125,5
410,5.0,73.48664522058824,285,5
411,3.0,56.32938419117643,232,5
412,0.0,19.5727481617647,123,5
413,0.0,20.06574448529412,122,5
414,7.0,109.32021139705881,394,5
415,1.0,34.40039522058824,173,5
416,1.0,34.635579044117634,171,5
417,0.0,20.266599264705885,123,5
418,3.0,62.66777573529409,264,5
419,2.0,50.92555147058824,222,5
420,3.0,60.72772058823528,266,5
421,2.0,49.64409007352942,223,5
422,5.0,87.44283088235296,342,5
423,0.0,19.595753676470594,125,5
424,1.0,34.30023897058823,171,5
425,1.0,30.10610294117648,153,5
426,2.0,46.17251838235297,201,5
427,2.0,49.826148897058836,218,5
428,6.0,88.66527573529414,332,5
429,1.0,36.76668198529411,174,5
430,1.0,28.32495404411764,152,5
431,2.0,41.61488051470586,200,5
432,2.0,40.309862132352954,182,5
433,2.0,46.33256433823527,202,5
434,0.0,20.028207720588235,124,5
435,0.0,20.10100183823529,125,5
436,7.0,99.45657169117646,364,5
437,2.0,47.86951286764706,210,5
438,1.0,35.65228860294117,170,5
439,6.0,110.13034007352952,442,5
440,5.0,83.46532169117648,324,5
441,1.0,31.50563419117647,153,5
442,0.0,21.25317095588236,123,5
443,2.0,48.27222426470586,218,5
444,0.0,21.084301470588226,125,5
445,1.0,30.725386029411794,153,5
446,4.0,74.31848345588239,299,5
447,4.0,66.19960477941181,262,5
448,0.0,20.24247242647059,122,5
449,9.0,137.11753676470585,492,5
450,4.0,72.56069852941178,286,5
451,0.0,19.710523897058817,124,5
452,1.0,34.4313051470588,168,5
453,0.0,19.41172794117648,124,5
454,0.0,20.083189338235297,125,5
455,0.0,19.98407169117647,123,5
456,0.0,20.85486213235293,122,5
457,3.0,59.56570772058823,250,5
458,2.0,40.66770220588234,180,5
459,2.0,44.0498713235294,203,5
460,3.0,61.0689154411765,252,5
461,2.0,50.88232536764708,219,5
462,0.0,22.29659007352941,126,5
463,4.0,71.90980698529415,281,5
464,0.0,21.016286764705878,124,5
465,4.0,65.43208639705887,252,5
466,0.0,19.60620404411765,122,5
467,1.0,31.055257352941172,151,5
468,9.0,103.53269301470587,353,5
469,2.0,43.0235294117647,185,5
470,2.0,50.49318933823531,218,5
471,5.0,74.10954963235291,278,5
472,5.0,83.53511029411763,313,5
473,4.0,73.3891544117647,301,5
474,6.0,91.27879595588233,351,5
475,3.0,58.38455882352937,249,5
476,2.0,47.86398897058825,200,5
477,1.0,31.719641544117636,154,5
478,5.0,95.42545955882356,365,5
479,1.0,30.87775735294117,150,5
480,2.0,46.24661764705882,204,5
481,1.0,36.430137867647055,173,5
482,0.0,21.61136029411765,123,5
483,4.0,76.43655330882335,298,5
484,2.0,48.0465073529412,219,5
485,2.0,42.22420955882353,182,5
486,3.0,59.9184650735294,246,5
487,3.0,63.526433823529416,264,5
488,4.0,61.70879595588234,257,5
489,3.0,53.08056066176469,251,5
490,8.0,126.11990808823523,440,5
491,8.0,125.12233455882352,447,5
492,11.0,131.07072610294114,430,5
493,1.0,35.651847426470574,172,5
494,4.0,69.2388419117647,278,5
495,2.0,42.48160845588236,187,5
496,5.0,85.22003676470591,317,5
497,1.0,31.765836397058834,151,5
498,0.0,20.335275735294108,124,5
499,3.0,63.965330882352966,267,5
500,4.0,82.55623161764706,317,5
501,0.0,20.959751838235295,122,5
502,2.0,44.22557904411764,186,5
503,1.0,36.68870404411763,174,5
504,3.0,60.4900643382353,250,5
505,0.0,21.61535845588235,123,5
506,5.0,82.69489889705889,304,5
507,4.0,77.11713235294116,296,5
508,5.0,85.39515624999997,316,5
509,0.0,17.31264705882353,123,5
510,6.0,88.30272058823522,324,5
511,1.0,31.89147977941178,152,5
512,8.0,106.46805147058825,356,5
513,0.0,22.313207720588238,124,5
514,0.0,21.676571691176466,123,5
515,7.0,114.0833180147058,406,5
516,0.0,21.62898897058824,124,5
517,2.0,50.81979779411767,218,5
518,4.0,63.24507352941176,235,5
519,3.0,63.2060661764706,248,5
520,7.0,110.17965073529409,406,5
521,5.0,81.58390624999997,310,5
522,3.0,66.33032169117644,263,5
523,2.0,45.459816176470575,199,5
524,4.0,76.12423713235287,294,5
525,5.0,84.48731617647064,312,5
526,1.0,32.10979779411768,153,5
527,1.0,36.732325367647036,170,5
528,0.0,21.226185661764706,123,5
529,6.0,95.42387867647061,349,5
530,1.0,30.83766544117648,154,5
531,8.0,112.02824448529422,402,5
532,3.0,61.97164522058825,248,5
533,2.0,34.76407169117648,202,5
534,2.0,41.14984375,181,5
535,0.0,21.470652573529403,123,5
536,8.0,88.11841911764708,294,5
537,3.0,51.69959558823529,210,5
538,1.0,37.42747242647059,172,5
539,5.0,81.32580882352944,311,5
540,5.0,77.93000919117644,288,5
541,7.0,116.53140624999997,425,5
542,4.0,70.68772058823531,281,5
543,1.0,36.91594669117648,172,5
544,12.0,143.49499080882336,462,5
545,3.0,63.589227941176446,250,5
546,5.0,92.16513786764706,343,5
547,1.0,31.802987132352943,154,5
548,7.0,123.2087591911765,447,5
549,3.0,60.48013786764703,248,5
550,3.0,57.29410845588239,226,5
551,5.0,82.50305147058819,308,5
552,6.0,87.4742830882353,324,5
553,4.0,78.32155330882358,296,5
554,3.0,57.158474264705916,229,5
555,12.0,138.5396415441176,472,5
556,4.0,72.27636029411768,278,5
557,2.0,47.09920036764708,200,5
558,10.0,125.50939338235298,420,5
559,11.0,138.75695772058816,454,5
560,10.0,148.62833639705875,513,5
561,3.0,61.24963235294119,247,5
562,3.0,55.7822150735294,232,5
563,7.0,98.17063419117649,344,5
564,4.0,70.07708639705878,276,5
565,14.0,171.01007352941184,546,5
566,6.0,101.79701286764706,372,5
567,7.0,104.81976102941175,380,5
568,7.0,116.68170036764691,421,5
569,8.0,123.82773897058826,449,5
570,7.0,106.88415441176473,383,5
571,7.0,116.88253676470586,429,5
572,4.0,70.85269301470592,275,5
573,6.0,102.84374080882355,367,5
574,4.0,77.66155330882351,295,5
575,3.0,61.42201286764701,247,5
576,6.0,97.26005514705886,359,5
577,7.0,110.48009191176459,403,5
578,5.0,81.53483455882348,294,5
579,15.0,165.99200367647043,543,5
580,3.0,55.957693014705846,228,5
581,9.0,137.44975183823536,475,5
582,7.0,106.23872242647055,374,5
583,4.0,72.52525735294115,280,5
584,7.0,107.63976102941173,391,5
585,4.0,68.87883272058825,261,5
586,13.0,171.85407169117644,577,5
587,2.0,42.05767463235296,182,5
588,15.0,168.2089430147059,536,5
589,9.0,138.17104779411753,489,5
590,2.0,42.67552389705884,185,5
591,8.0,115.72216911764704,412,5
592,5.0,85.90377757352945,314,5
593,7.0,99.63136948529409,356,5
594,5.0,83.31988051470587,310,5
595,7.0,109.66955882352936,386,5
596,10.0,146.1642555147058,501,5
597,7.0,108.58693933823533,383,5
598,13.0,186.39433823529401,630,5
599,2.0,48.326397058823545,200,5
600,10.0,117.7473621323529,393,5
601,6.0,100.12357536764709,353,5
602,2.0,42.91947610294116,180,5
603,8.0,119.58810661764704,431,5
604,10.0,143.99983455882344,500,5
605,5.0,81.51434742647064,309,5
606,7.0,103.21914522058832,367,5
607,12.0,140.02118566176472,473,5
608,8.0,128.0987408088236,454,5
609,11.0,127.85898897058824,422,5
610,12.0,135.61163602941176,455,5
611,9.0,124.64051470588235,441,5
612,9.0,134.9882996323529,494,5
613,4.0,65.99199448529414,258,5
614,6.0,104.73806066176466,393,5
615,1.0,33.30855698529411,151,5
616,2.0,43.0235661764706,180,5
617,13.0,186.1488970588237,643,5
618,8.0,116.47862132352935,402,5
619,9.0,126.21460477941166,445,5
620,10.0,140.23718750000015,479,5
621,8.0,111.92465073529411,402,5
622,11.0,131.12915441176463,434,5
623,11.0,122.14647058823535,405,5
624,9.0,133.85181985294108,468,5
625,2.0,41.27752757352943,181,5
626,11.0,121.0767279411765,406,5
627,4.0,66.52594669117646,260,5
628,16.0,158.326286764706,491,5
629,14.0,187.15346507352947,640,5
630,8.0,122.03554227941186,432,5
631,13.0,171.28282169117642,582,5
632,11.0,123.51001838235291,428,5
633,3.0,53.93488970588236,211,5
634,6.0,90.18428308823533,337,5
635,3.0,53.27862132352941,210,5
636,9.0,134.75781249999994,490,5
637,8.0,117.60812500000014,418,5
638,12.0,161.6350275735294,551,5
639,4.0,72.65648897058828,281,5
640,8.0,115.31037683823449,545,5
641,9.0,134.1498988970588,483,5
642,8.0,115.2555790441177,407,5
643,9.0,131.81255514705887,468,5
644,10.0,141.5282077205881,482,5
645,8.0,83.56940257352942,275,5
646,6.0,89.9986580882353,319,5
647,12.0,167.8234834558824,573,5
648,6.0,93.08680147058823,341,5
649,8.0,116.24019301470591,420,5
650,17.0,198.93737132352945,652,5
651,3.0,86.61737132352965,403,5
652,1.0,36.95293198529411,171,5
653,5.0,86.6246783088235,327,5
654,9.0,127.79729779411764,442,5
655,8.0,123.04305147058811,434,5
656,12.0,165.34565257352938,548,5
657,5.0,83.6831801470588,311,5
658,4.0,68.14108455882352,278,5
659,8.0,119.04261948529421,422,5
660,15.0,200.2796507352943,670,5
661,11.0,159.38771139705875,550,5
662,12.0,162.41366727941173,560,5
663,7.0,99.209981617647,344,5
